NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_glissant_max,TnMoy_glissant_max,window_days,episode
1028001,BANEINS,46.122,4.9045,243,1.0,18.76,5,canicule-aout-2003
1033002,BELLEGARDE,46.0865,5.814167,350,0.0,16.46,5,canicule-aout-2003
1034004,BELLEY,45.769333,5.688,330,5.0,20.92,5,canicule-aout-2003
1037001,BENONCES,45.862333,5.484167,944,0.0,17.2,5,canicule-aout-2003
1071001,CESSY,46.310333,6.080333,507,1.0,18.84,5,canicule-aout-2003
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,1.0,18.360000000000003,5,canicule-aout-2003
1089001,AMBERIEU,45.9765,5.329333,250,3.0,19.860000000000003,5,canicule-aout-2003
1143001,DIVONNE,46.376667,6.156667,488,1.0,19.4,5,canicule-aout-2003
1174001,GIRON,46.23,5.7725,1015,0.0,17.2,5,canicule-aout-2003
1204002,BURL,46.166667,5.706667,530,0.0,15.5,5,canicule-aout-2003
1224002,LOYETTES,45.8065,5.238333,198,1.0,18.2,5,canicule-aout-2003
1235001,MARLIEUX,46.0385,5.044333,280,0.0,18.16,5,canicule-aout-2003
1235002,MARLIEUX,46.046667,5.073333,273,0.0,17.660000000000004,5,canicule-aout-2003
1243001,MESSIMY,46.047167,4.757667,175,0.0,18.0,5,canicule-aout-2003
1255002,MONTAGNIEU,45.794333,5.469333,336,5.0,22.7,5,canicule-aout-2003
1262004,MONTLUEL,45.907667,5.017167,275,0.0,16.94,5,canicule-aout-2003
1273001,NEUVILLE,46.083167,5.373833,291,1.0,18.7,5,canicule-aout-2003
1283001,OYONNAX,46.271667,5.661667,535,1.0,16.919999999999998,5,canicule-aout-2003
1350001,SAINT ETIENNE DU BOIS,46.296,5.279667,243,0.0,17.98,5,canicule-aout-2003
1367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,1.0,18.34,5,canicule-aout-2003
1384001,SAINT RAMBERT EN BUGEY,45.931667,5.426667,285,0.0,16.240000000000002,5,canicule-aout-2003
1384003,ST RAMBERT CG01,45.950333,5.461,296,0.0,17.68,5,canicule-aout-2003
1414001,SUTRIEU,45.916167,5.624667,878,2.0,20.5,5,canicule-aout-2003
1441001,VIEU,46.088833,5.540833,615,0.0,15.680000000000001,5,canicule-aout-2003
1453001,VIRIEU-LE-PETIT,45.906833,5.718167,603,4.0,21.1,5,canicule-aout-2003
2031001,AUBENTON,49.834,4.2005,177,1.0,16.9,5,canicule-aout-2003
2035001,AUDIGNY,49.866667,3.65,150,1.0,18.78,5,canicule-aout-2003
2037002,AULNOIS-SS-LAON,49.595667,3.610333,78,0.0,17.160000000000004,5,canicule-aout-2003
2094001,BLESMES,49.009667,3.462667,222,2.0,19.380000000000003,5,canicule-aout-2003
2110002,BRAINE,49.351333,3.527,61,1.0,17.7,5,canicule-aout-2003
2153001,CESSIERES,49.553333,3.498333,107,2.0,19.22,5,canicule-aout-2003
2173002,CHAUNY,49.633833,3.197833,83,0.0,18.0,5,canicule-aout-2003
2197001,CLAIRFONTAINE,49.966667,3.966667,225,1.0,19.3,5,canicule-aout-2003
2199001,CLASTRES,49.742833,3.2285,75,0.0,17.6,5,canicule-aout-2003
2220001,COULONGES-COHAN,49.214167,3.605833,168,0.0,18.8,5,canicule-aout-2003
2239001,CREZANCY,49.05,3.5,125,1.0,17.9,5,canicule-aout-2003
2298001,ETREUX,49.987833,3.646833,120,0.0,18.4,5,canicule-aout-2003
2301002,FAUCOUCOURT,49.527333,3.462167,100,2.0,18.759999999999998,5,canicule-aout-2003
2320001,ST QUENTIN,49.818333,3.206,98,0.0,18.240000000000002,5,canicule-aout-2003
2321001,FONTAINE-VV MAN,49.836333,3.8795,184,3.0,20.04,5,canicule-aout-2003
2321002,FONTAINE-LES-VV,49.837333,3.877833,186,2.0,19.84,5,canicule-aout-2003
2346001,GIZY,49.599833,3.781,75,4.0,20.0,5,canicule-aout-2003
2471001,MARTIGNY-COURPI,49.485667,3.693167,95,1.0,17.7,5,canicule-aout-2003
2505001,MONTFAUCON,48.973333,3.441,217,5.0,21.2,5,canicule-aout-2003
2558001,NOUVION-EN-T,50.007833,3.7765,182,0.0,18.2,5,canicule-aout-2003
2580001,OULCHY-LE-CHATE,49.208667,3.417,122,2.0,19.160000000000004,5,canicule-aout-2003
2594001,PASSY EN VALOIS,49.165167,3.199667,141,0.0,18.360000000000003,5,canicule-aout-2003
2617001,POUILLY-SUR-SERRE,49.683833,3.597333,68,0.0,18.740000000000002,5,canicule-aout-2003
2705001,NIZY-LE-COMTE,49.566,4.0365,90,0.0,17.28,5,canicule-aout-2003
2734001,TAILLEFONTAINE,49.312667,3.044,140,2.0,19.0,5,canicule-aout-2003
2758001,VAILLY-SUR-AISN,49.412167,3.519333,65,3.0,19.3,5,canicule-aout-2003
3005001,ARCHIGNAT,46.359333,2.433667,370,2.0,20.18,5,canicule-aout-2003
3006003,ARFEUILLES,46.163667,3.7355,450,0.0,18.96,5,canicule-aout-2003
3029001,BILLY,46.233333,3.431667,286,0.0,19.0,5,canicule-aout-2003
3036002,BOURBON_SAPC,46.58,3.0495,270,4.0,21.240000000000002,5,canicule-aout-2003
3043001,BROUT-VERNET,46.187167,3.267667,315,2.0,19.919999999999998,5,canicule-aout-2003
3046001,BUXIERES,46.4535,3.004833,375,5.0,23.1,5,canicule-aout-2003
3059001,CHAREIL-CINTRAT_SAPC,46.275833,3.225667,286,2.0,19.62,5,canicule-aout-2003
3060001,VICHY-CHARMEIL,46.166667,3.398667,249,0.0,18.759999999999998,5,canicule-aout-2003
3061001,CHARMES_SAPC,46.0635,3.233667,330,5.0,21.9,5,canicule-aout-2003
3066003,CHATEL-MONTAGNE,46.1155,3.683,515,5.0,23.259999999999998,5,canicule-aout-2003
3073001,CHEMILLY,46.488333,3.315833,235,4.0,20.6,5,canicule-aout-2003
3082003,COMMENTRY,46.295,2.746667,370,5.0,21.86,5,canicule-aout-2003
3083002,CONTIGNY,46.3535,3.292333,305,5.0,21.26,5,canicule-aout-2003
3100001,DIOU,46.541667,3.706667,220,3.0,20.0,5,canicule-aout-2003
3106002,DURDAT-LAREQUILLE,46.251667,2.695667,500,5.0,22.6,5,canicule-aout-2003
3108001,ECHASSIERES_SAPC,46.191167,2.957667,650,5.0,21.78,5,canicule-aout-2003
3114001,FERTE-HAUTERIVE,46.376833,3.331,226,0.0,17.619999999999997,5,canicule-aout-2003
3127001,HERISSON,46.501167,2.757333,248,0.0,17.6,5,canicule-aout-2003
3130002,ISLE-ET-BARDAIS,46.663333,2.730167,262,5.0,20.6,5,canicule-aout-2003
3149002,LOUCHY-MONTFAND,46.303667,3.241833,280,2.0,19.619999999999997,5,canicule-aout-2003
3155001,LURCY-LEVIS,46.730167,2.935167,206,1.0,18.339999999999996,5,canicule-aout-2003
3155003,LURCY-LEVIS SA,46.718333,2.947667,225,0.0,18.940000000000005,5,canicule-aout-2003
3159001,MALICORNE,46.300333,2.7775,400,5.0,21.6,5,canicule-aout-2003
3165001,MAYET-DE-MONTAG,46.076833,3.684,542,2.0,19.48,5,canicule-aout-2003
3168001,MEAULNE,46.610833,2.610167,218,0.0,17.919999999999998,5,canicule-aout-2003
3180001,MONTBEUGNY,46.536333,3.423167,275,5.0,21.160000000000004,5,canicule-aout-2003
3185006,MONTLUCON,46.365,2.596333,207,5.0,22.639999999999997,5,canicule-aout-2003
3185007,MONTLUCON,46.355167,2.574667,229,3.0,20.979999999999997,5,canicule-aout-2003
3186001,MONTMARAULT,46.314833,2.9525,466,5.0,21.700000000000003,5,canicule-aout-2003
3200001,NEUVY,46.549667,3.2855,250,5.0,21.52,5,canicule-aout-2003
3204001,PARAY-SOUS-BRIAILLES,46.2835,3.337833,250,0.0,18.119999999999997,5,canicule-aout-2003
3226001,SAINT DIDIER_SAPC,46.365333,3.850167,293,1.0,18.04,5,canicule-aout-2003
3240001,ST-LEON,46.4025,3.685833,378,5.0,24.94,5,canicule-aout-2003
3248001,ST-NICOLAS,46.0515,3.805167,1022,5.0,22.959999999999997,5,canicule-aout-2003
3253001,ST-POURCAIN-BES,46.491667,3.615833,268,4.0,20.32,5,canicule-aout-2003
3285001,TORTEZAIS_SAPC,46.451333,2.857,256,1.0,19.04,5,canicule-aout-2003
3310001,VICHY-VILLE,46.117667,3.439,255,5.0,21.4,5,canicule-aout-2003
3321001,YZEURE,46.579167,3.352833,242,5.0,22.2,5,canicule-aout-2003
4006004,ALLOS,44.226667,6.631667,1370,0.0,12.4,5,canicule-aout-2003
4019001,BARCELONNETTE,44.391167,6.670167,1155,0.0,10.959999999999999,5,canicule-aout-2003
4027002,BEVONS,44.167,5.861833,520,0.0,15.64,5,canicule-aout-2003
4039001,CASTELLANE,43.849167,6.508,729,0.0,13.559999999999999,5,canicule-aout-2003
4049001,ST AUBAN,44.062167,5.989667,458,2.0,19.5,5,canicule-aout-2003
4068001,DAUPHIN,43.909833,5.767167,427,1.0,18.32,5,canicule-aout-2003
4070008,DIGNE,44.083333,6.225,585,0.0,17.98,5,canicule-aout-2003
4070009,DIGNE LES BAINS,44.07,6.186667,554,0.0,17.98,5,canicule-aout-2003
4096002,JAUSIERS-ST ANNE,44.413667,6.725167,1240,0.0,12.8,5,canicule-aout-2003
4096401,RESTEFOND-NIVOSE,44.34,6.8,2550,0.0,11.220000000000002,5,canicule-aout-2003
4112001,MANOSQUE,43.843333,5.785,380,0.0,17.3,5,canicule-aout-2003
4160001,REILLANNE,43.87,5.663333,455,0.0,18.5,5,canicule-aout-2003
4172001,ROUMOULES,43.7935,6.150833,665,1.0,19.5,5,canicule-aout-2003
4173002,ST ANDRE ALPES,43.958333,6.511667,882,0.0,13.36,5,canicule-aout-2003
4192001,ST MICHEL L OBS,43.933333,5.713333,650,5.0,21.82,5,canicule-aout-2003
4193002,ST PAUL,44.593,6.843333,1908,0.0,9.940000000000001,5,canicule-aout-2003
4193400,MALJASSET_NIVO,44.593,6.843333,1908,0.0,9.580000000000002,5,canicule-aout-2003
4205004,SEYNE-COL MAURE,44.320333,6.400167,1347,0.0,13.319999999999999,5,canicule-aout-2003
4209005,SISTERON,44.2245,5.916,500,0.0,16.439999999999998,5,canicule-aout-2003
4217001,THOARD,44.16,6.138333,785,0.0,16.96,5,canicule-aout-2003
