NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,lcz_source,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,lcz_comp_100m,lcz_comp_300m,lcz_comp_500m,lcz_category
01028001,BANEINS,46.122,4.9045,243,demuzere,14.0,14.0,14.0,"{""12"": 1, ""14"": 2}","{""12"": 8, ""14"": 19}","{""14"": 60, ""12"": 13, ""9"": 2}",non_bati
01033002,BELLEGARDE,46.0865,5.814167,350,demuzere,6.0,6.0,12.0,"{""6"": 3}","{""12"": 7, ""6"": 13, ""11"": 5, ""17"": 3, ""14"": 1}","{""12"": 26, ""6"": 20, ""11"": 21, ""17"": 10, ""14"": 2}",non_bati
01034004,BELLEY,45.769333,5.688,330,demuzere,14.0,14.0,12.0,"{""14"": 3}","{""12"": 7, ""14"": 15, ""6"": 6}","{""11"": 5, ""12"": 29, ""14"": 26, ""6"": 18}",non_bati
01037001,BENONCES,45.862333,5.484167,944,demuzere,11.0,11.0,11.0,"{""11"": 2, ""12"": 1}","{""11"": 26, ""12"": 3}","{""11"": 72, ""12"": 6}",non_bati
01071001,CESSY,46.310333,6.080333,507,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""14"": 25, ""6"": 3}","{""6"": 5, ""14"": 70, ""12"": 5}",non_bati
01072001,CEYZERIAT_SAPC,46.204333,5.287667,260,demuzere,12.0,11.0,11.0,"{""12"": 3, ""14"": 1}","{""11"": 12, ""12"": 11, ""14"": 6}","{""11"": 36, ""12"": 19, ""14"": 20, ""6"": 4}",non_bati
01089001,AMBERIEU,45.9765,5.329333,250,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 27}","{""12"": 9, ""14"": 69}",non_bati
01143001,DIVONNE,46.376667,6.156667,488,demuzere,12.0,12.0,12.0,"{""12"": 2, ""14"": 1}","{""14"": 3, ""12"": 25}","{""12"": 45, ""14"": 26, ""6"": 4, ""11"": 2}",non_bati
01174001,GIRON,46.23,5.7725,1015,demuzere,12.0,12.0,12.0,"{""12"": 4}","{""11"": 6, ""12"": 23}","{""11"": 29, ""12"": 52}",non_bati
01204002,BURL,46.166667,5.706667,530,demuzere,11.0,11.0,11.0,"{""11"": 2}","{""11"": 18, ""12"": 4, ""6"": 5}","{""11"": 61, ""12"": 10, ""6"": 6}",non_bati
01224002,LOYETTES,45.8065,5.238333,198,demuzere,6.0,6.0,14.0,"{""6"": 3}","{""6"": 15, ""14"": 13}","{""14"": 62, ""6"": 17}",non_bati
01235001,MARLIEUX,46.0385,5.044333,280,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 20, ""12"": 7}","{""14"": 48, ""12"": 24, ""11"": 3}",non_bati
01235002,MARLIEUX,46.046667,5.073333,273,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 27}","{""14"": 77, ""12"": 1}",non_bati
01243001,MESSIMY,46.047167,4.757667,175,demuzere,6.0,6.0,6.0,"{""6"": 3}","{""6"": 23, ""14"": 3, ""12"": 1}","{""14"": 24, ""6"": 41, ""12"": 10}",urbain_aere
01255002,MONTAGNIEU,45.794333,5.469333,336,demuzere,9.0,12.0,12.0,"{""9"": 2, ""12"": 2}","{""12"": 18, ""14"": 2, ""9"": 3, ""11"": 5}","{""12"": 49, ""11"": 23, ""14"": 3, ""6"": 2, ""9"": 3}",non_bati
01262004,MONTLUEL,45.907667,5.017167,275,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""11"": 1, ""14"": 30}","{""14"": 73, ""11"": 5}",non_bati
01273001,NEUVILLE,46.083167,5.373833,291,demuzere,6.0,6.0,12.0,"{""6"": 3}","{""12"": 8, ""11"": 1, ""9"": 6, ""6"": 14}","{""11"": 12, ""12"": 26, ""9"": 12, ""6"": 26, ""17"": 2}",non_bati
01283001,OYONNAX,46.271667,5.661667,535,demuzere,6.0,6.0,6.0,"{""8"": 1, ""6"": 2}","{""8"": 10, ""12"": 3, ""6"": 16}","{""8"": 27, ""12"": 11, ""6"": 41}",urbain_aere
01350001,SAINT ETIENNE DU BOIS,46.296,5.279667,243,demuzere,9.0,11.0,11.0,"{""11"": 1, ""9"": 3}","{""12"": 6, ""11"": 16, ""9"": 6, ""14"": 2}","{""14"": 20, ""12"": 16, ""11"": 32, ""9"": 13}",non_bati
01367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,demuzere,6.0,6.0,14.0,"{""6"": 3}","{""6"": 18, ""14"": 2, ""12"": 7}","{""14"": 28, ""6"": 26, ""12"": 23}",non_bati
01384001,SAINT RAMBERT EN BUGEY,45.931667,5.426667,285,demuzere,12.0,12.0,11.0,"{""6"": 1, ""12"": 3}","{""6"": 8, ""12"": 11, ""11"": 10}","{""6"": 19, ""11"": 48, ""12"": 14}",non_bati
01384003,ST RAMBERT CG01,45.950333,5.461,296,demuzere,11.0,11.0,11.0,"{""6"": 1, ""11"": 3}","{""9"": 2, ""6"": 7, ""11"": 20}","{""11"": 59, ""13"": 3, ""12"": 6, ""9"": 3, ""14"": 2, ""6"": 7}",non_bati
01414001,SUTRIEU,45.916167,5.624667,878,demuzere,12.0,12.0,12.0,"{""12"": 3}","{""12"": 24, ""11"": 3}","{""11"": 20, ""12"": 58}",non_bati
01441001,VIEU,46.088833,5.540833,615,demuzere,12.0,12.0,12.0,"{""12"": 2}","{""12"": 22, ""14"": 5, ""9"": 1}","{""14"": 22, ""6"": 8, ""12"": 47, ""9"": 2}",non_bati
01453001,VIRIEU-LE-PETIT,45.906833,5.718167,603,demuzere,12.0,12.0,12.0,"{""12"": 2}","{""12"": 21, ""14"": 6}","{""12"": 63, ""6"": 2, ""14"": 12}",non_bati
02031001,AUBENTON,49.834,4.2005,177,demuzere,6.0,12.0,12.0,"{""6"": 4}","{""6"": 12, ""12"": 13, ""14"": 3, ""11"": 1}","{""14"": 14, ""11"": 3, ""12"": 41, ""6"": 21}",non_bati
02035001,AUDIGNY,49.866667,3.65,150,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""9"": 2, ""14"": 27}","{""9"": 7, ""14"": 71, ""12"": 1, ""6"": 1}",non_bati
02037002,AULNOIS-SS-LAON,49.595667,3.610333,78,demuzere,14.0,14.0,14.0,"{""14"": 2}","{""14"": 28}","{""14"": 79}",non_bati
02094001,BLESMES,49.009667,3.462667,222,demuzere,14.0,14.0,14.0,"{""14"": 2}","{""14"": 28}","{""14"": 80}",non_bati
02110002,BRAINE,49.351333,3.527,61,demuzere,14.0,14.0,14.0,"{""14"": 2}","{""14"": 27}","{""14"": 73, ""12"": 1, ""11"": 4, ""6"": 1}",non_bati
02153001,CESSIERES,49.553333,3.498333,107,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""9"": 2, ""14"": 27}","{""12"": 7, ""9"": 7, ""14"": 61, ""11"": 5}",non_bati
02173002,CHAUNY,49.633833,3.197833,83,demuzere,14.0,14.0,14.0,"{""14"": 2}","{""14"": 27}","{""14"": 78}",non_bati
02197001,CLAIRFONTAINE,49.966667,3.966667,225,demuzere,14.0,14.0,14.0,"{""14"": 2, ""12"": 1}","{""14"": 23, ""12"": 5}","{""14"": 72, ""12"": 6}",non_bati
