NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy
01014002,ARBENT,46.278167,5.669,534,10,0,10.7,8.49,31.7,29.130000000000003,19.21
01027003,BALAN_AERO,45.833,5.106667,196,10,0,15.4,11.770000000000001,33.7,30.51,22.0
01034004,BELLEY,45.769333,5.688,330,10,1,20.2,14.91,32.6,29.98,22.919999999999998
01064001,VERIZIEU,45.777167,5.487167,281,10,0,16.3,13.12,33.4,30.810000000000002,21.809999999999995
01071001,CESSY,46.310333,6.080333,507,10,0,16.6,13.41,31.6,28.53,21.529999999999998
01072001,CEYZERIAT_SAPC,46.204333,5.287667,260,10,0,15.9,12.379999999999999,32.8,29.71,21.209999999999997
01089001,AMBERIEU,45.9765,5.329333,250,10,0,16.5,13.05,33.4,30.389999999999997,22.14
01143002,DIVONNE ZA,46.3415,6.139667,467,10,0,14.5,10.72,33.0,30.28,20.380000000000003
01185006,HAUTEVILLE_EDF_RIC-A2-DOUBLON,45.979667,5.598167,805,10,0,12.3,9.629999999999999,28.6,26.359999999999996,
01200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,10,0,16.3,13.489999999999998,30.0,27.25,20.34
01235001,MARLIEUX,46.0385,5.044333,280,10,0,15.9,13.209999999999999,33.7,29.870000000000005,21.8
01247003,MIJOUX,46.378833,6.019333,1002,10,0,9.7,6.8199999999999985,27.8,25.110000000000003,15.810000000000002
01269001,NANTUA,46.148167,5.607333,483,10,0,14.5,11.53,31.4,28.630000000000003,20.05
01367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,10,0,16.3,13.15,33.9,30.99,22.190000000000005
01384003,ST RAMBERT CG01,45.950333,5.461,296,10,0,15.9,12.379999999999999,33.8,30.45,20.89
01414001,SUTRIEU,45.916167,5.624667,878,10,0,16.7,12.400000000000002,29.7,26.459999999999997,19.89
02037002,AULNOIS-SS-LAON,49.595667,3.610333,78,10,0,15.0,12.05,31.5,28.4,20.66
02058001,BEAURIEUX,49.390333,3.732667,56,10,0,14.9,12.37,32.7,29.82,21.38
02094001,BLESMES,49.009667,3.462667,222,10,0,16.2,13.419999999999998,30.3,27.77,21.080000000000005
02110002,BRAINE,49.351333,3.527,61,10,0,15.3,12.249999999999998,32.7,29.330000000000002,21.24
02173002,CHAUNY,49.633833,3.197833,83,10,0,17.5,13.02,31.6,28.82,21.360000000000003
02320001,ST QUENTIN,49.818333,3.206,98,10,0,16.6,13.75,30.9,28.53,21.6
02321002,FONTAINE-LES-VV,49.837333,3.877833,186,10,0,18.5,14.589999999999998,30.1,27.290000000000003,21.310000000000002
02346001,GIZY,49.599833,3.781,75,10,0,14.1,11.11,32.0,28.7,20.34
02381001,HIRSON,49.922,4.077167,165,10,0,15.4,11.720000000000002,31.3,28.51,20.54
02471001,MARTIGNY-COURPI,49.485667,3.693167,95,10,0,13.5,11.12,31.7,28.65,20.219999999999995
02585001,PARCY-ET-TIGNY,49.280167,3.331,148,10,0,16.6,12.41,32.0,28.96,20.910000000000004
02705001,NIZY-LE-COMTE,49.566,4.0365,90,10,0,13.6,11.32,32.2,28.939999999999998,20.52
02738001,TERGNIER,49.663833,3.320667,59,10,0,16.8,13.540000000000001,32.3,29.130000000000003,21.699999999999996
03036002,BOURBON_SAPC,46.58,3.0495,270,10,0,16.2,13.3,32.8,29.79,22.290000000000003
03059001,CHAREIL-CINTRAT_SAPC,46.275833,3.225667,286,10,0,14.0,11.25,33.8,30.5,21.619999999999997
03060001,VICHY-CHARMEIL,46.166667,3.398667,249,10,0,14.6,10.629999999999999,33.8,30.05,20.740000000000002
03061001,CHARMES_SAPC,46.0635,3.233667,330,10,0,18.1,14.64,34.0,30.559999999999995,22.41
03074001,CHEVAGNES,46.630667,3.549167,228,10,0,12.9,10.03,34.4,30.870000000000005,21.029999999999998
03100001,DIOU,46.541667,3.706667,220,10,0,15.0,12.250000000000002,34.0,30.659999999999997,21.75
03106002,DURDAT-LAREQUILLE,46.251667,2.695667,500,10,0,17.8,14.310000000000002,32.4,29.080000000000002,21.770000000000003
03108001,ECHASSIERES_SAPC,46.191167,2.957667,650,10,0,17.5,13.7,31.0,27.25,21.05
03114001,FERTE-HAUTERIVE,46.376833,3.331,226,10,0,14.9,11.65,34.5,31.21,21.66
03125001,LA GUILLERMIE,45.984667,3.639833,722,10,0,17.5,14.49,30.3,27.520000000000003,21.15
03130002,ISLE-ET-BARDAIS,46.663333,2.730167,262,10,0,16.0,13.010000000000002,34.2,30.21,21.509999999999998
03155003,LURCY-LEVIS SA,46.718333,2.947667,225,10,0,12.3,10.15,33.1,30.109999999999996,21.03
