NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_5j_max,TnMoy_5j_max
1014002,ARBENT,46.278167,5.669,534,0.0,9.679999999999998
1027003,BALAN_AERO,45.833,5.106667,196,0.0,14.080000000000002
1034004,BELLEY,45.769333,5.688,330,1.0,17.279999999999998
1064001,VERIZIEU,45.777167,5.487167,281,0.0,14.9
1071001,CESSY,46.310333,6.080333,507,0.0,15.360000000000003
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,0.0,14.36
1089001,AMBERIEU,45.9765,5.329333,250,0.0,14.939999999999998
1143002,DIVONNE ZA,46.3415,6.139667,467,0.0,12.9
1200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,0.0,15.440000000000001
1235001,MARLIEUX,46.0385,5.044333,280,0.0,15.440000000000001
1247003,MIJOUX,46.378833,6.019333,1002,0.0,8.139999999999999
1269001,NANTUA,46.148167,5.607333,483,0.0,12.580000000000002
1367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,0.0,15.34
1384003,ST RAMBERT CG01,45.950333,5.461,296,0.0,13.9
1414001,SUTRIEU,45.916167,5.624667,878,0.0,14.26
2037002,AULNOIS-SS-LAON,49.595667,3.610333,78,0.0,13.419999999999998
2058001,BEAURIEUX,49.390333,3.732667,56,0.0,13.7
2094001,BLESMES,49.009667,3.462667,222,0.0,14.860000000000003
2110002,BRAINE,49.351333,3.527,61,0.0,13.639999999999997
2173002,CHAUNY,49.633833,3.197833,83,0.0,14.9
2320001,ST QUENTIN,49.818333,3.206,98,0.0,15.780000000000001
2321002,FONTAINE-LES-VV,49.837333,3.877833,186,0.0,16.64
2346001,GIZY,49.599833,3.781,75,0.0,12.18
2381001,HIRSON,49.922,4.077167,165,0.0,13.280000000000001
2471001,MARTIGNY-COURPI,49.485667,3.693167,95,0.0,12.139999999999999
2585001,PARCY-ET-TIGNY,49.280167,3.331,148,0.0,14.4
2705001,NIZY-LE-COMTE,49.566,4.0365,90,0.0,12.359999999999998
2738001,TERGNIER,49.663833,3.320667,59,0.0,15.24
3036002,BOURBON_SAPC,46.58,3.0495,270,0.0,15.680000000000001
3059001,CHAREIL-CINTRAT_SAPC,46.275833,3.225667,286,0.0,13.36
3060001,VICHY-CHARMEIL,46.166667,3.398667,249,0.0,12.6
3061001,CHARMES_SAPC,46.0635,3.233667,330,0.0,16.84
3074001,CHEVAGNES,46.630667,3.549167,228,0.0,11.779999999999998
3100001,DIOU,46.541667,3.706667,220,0.0,14.12
3106002,DURDAT-LAREQUILLE,46.251667,2.695667,500,0.0,16.52
3108001,ECHASSIERES_SAPC,46.191167,2.957667,650,0.0,15.86
3114001,FERTE-HAUTERIVE,46.376833,3.331,226,0.0,13.34
3125001,LA GUILLERMIE,45.984667,3.639833,722,0.0,16.6
3130002,ISLE-ET-BARDAIS,46.663333,2.730167,262,0.0,15.059999999999999
3155003,LURCY-LEVIS SA,46.718333,2.947667,225,0.0,11.860000000000001
3162001,MARIGNY,46.581667,3.195833,249,0.0,11.680000000000001
3180001,MONTBEUGNY,46.536333,3.423167,275,0.0,13.879999999999999
