NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,lcz_source,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,lcz_comp_100m,lcz_comp_300m,lcz_comp_500m,lcz_category
01014002,ARBENT,46.278167,5.669,534,demuzere,14.0,14,14,"{""14"": 5}","{""8"": 4, ""14"": 36, ""12"": 2}","{""8"": 25, ""14"": 65, ""12"": 17, ""6"": 8}",non_bati
01027003,BALAN_AERO,45.833,5.106667,196,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 28, ""6"": 11}","{""14"": 78, ""6"": 27, ""12"": 4}",non_bati
01034004,BELLEY,45.769333,5.688,330,demuzere,12.0,9,9,"{""12"": 3, ""9"": 1}","{""12"": 16, ""11"": 2, ""9"": 17, ""14"": 2, ""6"": 5}","{""6"": 28, ""9"": 38, ""12"": 34, ""11"": 5, ""14"": 6}",bati_special
01064001,VERIZIEU,45.777167,5.487167,281,demuzere,6.0,6,9,"{""6"": 4, ""9"": 1}","{""6"": 19, ""9"": 12, ""12"": 7}","{""9"": 43, ""12"": 31, ""6"": 24, ""11"": 13}",bati_special
01071001,CESSY,46.310333,6.080333,507,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 38, ""9"": 2}","{""6"": 8, ""14"": 104, ""9"": 2}",non_bati
01072001,CEYZERIAT_SAPC,46.204333,5.287667,260,demuzere,12.0,11,11,"{""11"": 1, ""9"": 1, ""12"": 3}","{""11"": 17, ""9"": 4, ""14"": 7, ""12"": 13}","{""11"": 47, ""12"": 24, ""9"": 9, ""14"": 31, ""6"": 4}",non_bati
01089001,AMBERIEU,45.9765,5.329333,250,demuzere,14.0,14,14,"{""14"": 5}","{""14"": 38, ""9"": 3}","{""14"": 108, ""9"": 6}",non_bati
01143002,DIVONNE ZA,46.3415,6.139667,467,demuzere,6.0,6,12,"{""6"": 4}","{""6"": 19, ""12"": 13, ""9"": 1, ""11"": 1, ""14"": 6}","{""6"": 34, ""14"": 18, ""12"": 45, ""9"": 4, ""11"": 10}",non_bati
01185006,HAUTEVILLE_EDF_RIC-A2-DOUBLON,45.979667,5.598167,805,demuzere,6.0,6,6,"{""6"": 5}","{""9"": 3, ""6"": 33, ""14"": 3, ""12"": 1}","{""9"": 15, ""6"": 74, ""14"": 23, ""12"": 2}",urbain_aere
01200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,demuzere,11.0,11,11,"{""9"": 2, ""11"": 3}","{""6"": 2, ""9"": 8, ""12"": 10, ""11"": 18}","{""12"": 30, ""9"": 14, ""11"": 67, ""6"": 2}",non_bati
01235001,MARLIEUX,46.0385,5.044333,280,demuzere,14.0,14,14,"{""14"": 5}","{""14"": 31, ""12"": 5, ""9"": 5}","{""14"": 81, ""12"": 16, ""9"": 9, ""11"": 8}",non_bati
01247003,MIJOUX,46.378833,6.019333,1002,demuzere,12.0,12,12,"{""12"": 5}","{""14"": 8, ""12"": 23, ""11"": 10}","{""12"": 60, ""14"": 16, ""11"": 38}",non_bati
01269001,NANTUA,46.148167,5.607333,483,demuzere,5.0,6,11,"{""5"": 2, ""6"": 2}","{""5"": 13, ""6"": 15, ""11"": 14}","{""5"": 31, ""6"": 33, ""12"": 3, ""11"": 45}",non_bati
01367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,demuzere,9.0,9,9,"{""9"": 5}","{""9"": 38, ""14"": 1, ""12"": 1, ""6"": 2}","{""9"": 74, ""14"": 32, ""12"": 4, ""6"": 5}",bati_special
01384003,ST RAMBERT CG01,45.950333,5.461,296,demuzere,6.0,11,11,"{""9"": 1, ""6"": 4}","{""12"": 7, ""11"": 20, ""6"": 11, ""9"": 3}","{""11"": 80, ""12"": 20, ""6"": 11, ""9"": 3}",non_bati
01414001,SUTRIEU,45.916167,5.624667,878,demuzere,12.0,12,12,"{""12"": 4}","{""11"": 11, ""12"": 31}","{""11"": 48, ""12"": 65}",non_bati
02037002,AULNOIS-SS-LAON,49.595667,3.610333,78,demuzere,14.0,14,14,"{""14"": 6}","{""14"": 44}","{""14"": 121}",non_bati
02058001,BEAURIEUX,49.390333,3.732667,56,demuzere,6.0,6,6,"{""6"": 3, ""9"": 1}","{""14"": 10, ""9"": 12, ""6"": 19, ""12"": 1}","{""12"": 25, ""9"": 32, ""14"": 22, ""6"": 38}",urbain_aere
02094001,BLESMES,49.009667,3.462667,222,demuzere,14.0,14,14,"{""14"": 5}","{""14"": 44}","{""14"": 121}",non_bati
02110002,BRAINE,49.351333,3.527,61,demuzere,14.0,14,14,"{""14"": 5}","{""14"": 44}","{""14"": 110, ""11"": 2, ""12"": 6, ""9"": 2}",non_bati
02173002,CHAUNY,49.633833,3.197833,83,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 44}","{""14"": 116, ""9"": 4}",non_bati
02320001,ST QUENTIN,49.818333,3.206,98,demuzere,14.0,14,14,"{""14"": 6}","{""14"": 45}","{""14"": 122}",non_bati
02321002,FONTAINE-LES-VV,49.837333,3.877833,186,demuzere,14.0,14,14,"{""14"": 6}","{""14"": 44}","{""14"": 120, ""9"": 1}",non_bati
02346001,GIZY,49.599833,3.781,75,demuzere,9.0,9,14,"{""9"": 5}","{""14"": 18, ""9"": 23, ""12"": 2}","{""14"": 50, ""9"": 47, ""12"": 25}",non_bati
02381001,HIRSON,49.922,4.077167,165,demuzere,6.0,6,6,"{""6"": 4}","{""6"": 32, ""5"": 12}","{""6"": 88, ""12"": 3, ""5"": 29}",urbain_aere
02471001,MARTIGNY-COURPI,49.485667,3.693167,95,demuzere,12.0,12,14,"{""14"": 2, ""12"": 3}","{""14"": 16, ""12"": 24, ""9"": 2}","{""14"": 59, ""12"": 41, ""9"": 3, ""11"": 17}",non_bati
02585001,PARCY-ET-TIGNY,49.280167,3.331,148,demuzere,14.0,14,14,"{""14"": 6}","{""14"": 34, ""9"": 9}","{""14"": 99, ""12"": 1, ""9"": 21}",non_bati
02705001,NIZY-LE-COMTE,49.566,4.0365,90,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 46}","{""14"": 122, ""11"": 2}",non_bati
02738001,TERGNIER,49.663833,3.320667,59,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 44}","{""14"": 123}",non_bati
03036002,BOURBON_SAPC,46.58,3.0495,270,demuzere,9.0,9,9,"{""9"": 5}","{""9"": 36, ""12"": 4, ""14"": 2}","{""14"": 25, ""9"": 81, ""12"": 6, ""6"": 3}",bati_special
03059001,CHAREIL-CINTRAT_SAPC,46.275833,3.225667,286,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 40}","{""14"": 110}",non_bati
