NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,NTrop_abs,NTrop_taux,episode,episode_label
1014002,ARBENT,46.278167,5.669,534,11,0,19.5,14.61818181818182,38.0,34.32727272727273,24.236363636363635,0,0.0,canicule-aout-2023,aou23
1027003,BALAN_AERO,45.833,5.106667,196,11,1,21.2,18.045454545454543,40.0,36.40909090909091,26.618181818181824,1,0.09090909090909091,canicule-aout-2023,aou23
1033002,BELLEGARDE,46.0865,5.814167,350,11,0,18.6,16.3,39.9,36.89090909090909,25.572727272727267,0,0.0,canicule-aout-2023,aou23
1034004,BELLEY,45.769333,5.688,330,11,5,22.2,19.845454545454544,40.2,36.86363636363637,28.0,5,0.45454545454545453,canicule-aout-2023,aou23
1064001,VERIZIEU,45.777167,5.487167,281,11,1,20.2,18.55454545454545,41.8,38.290909090909096,27.38181818181818,1,0.09090909090909091,canicule-aout-2023,aou23
1071001,CESSY,46.310333,6.080333,507,11,6,21.6,19.618181818181817,38.5,34.981818181818184,27.04545454545454,6,0.5454545454545454,canicule-aout-2023,aou23
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,11,2,21.5,18.59090909090909,39.7,34.581818181818186,25.9,2,0.18181818181818182,canicule-aout-2023,aou23
1089001,AMBERIEU,45.9765,5.329333,250,11,5,22.7,19.290909090909093,41.2,37.29090909090909,27.518181818181816,5,0.45454545454545453,canicule-aout-2023,aou23
1143002,DIVONNE ZA,46.3415,6.139667,467,11,0,17.1,15.363636363636362,39.9,36.3,24.972727272727276,0,0.0,canicule-aout-2023,aou23
1185006,HAUTEVILLE_EDF_RIC-A2-DOUBLON,45.979667,5.598167,805,11,0,19.4,15.109090909090908,35.2,32.47272727272727,,0,0.0,canicule-aout-2023,aou23
1200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,11,3,21.1,18.60909090909091,38.0,33.47272727272727,25.13636363636364,3,0.2727272727272727,canicule-aout-2023,aou23
1235001,MARLIEUX,46.0385,5.044333,280,11,3,21.1,18.454545454545453,40.5,35.22727272727273,26.11818181818182,3,0.2727272727272727,canicule-aout-2023,aou23
