NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,NTrop_abs,NTrop_taux,episode,episode_label
1014002,ARBENT,46.278167,5.669,534,14,0,18.3,11.607142857142858,36.1,32.728571428571435,22.99285714285715,0,0.0,vague-chaleur-juillet-2022,jul22
1027003,BALAN_AERO,45.833,5.106667,196,14,0,19.2,15.035714285714288,37.3,32.607142857142854,24.207142857142856,0,0.0,vague-chaleur-juillet-2022,jul22
1034004,BELLEY,45.769333,5.688,330,14,2,22.8,18.342857142857145,37.8,34.642857142857146,26.56428571428572,2,0.14285714285714285,vague-chaleur-juillet-2022,jul22
1064001,VERIZIEU,45.777167,5.487167,281,14,2,20.6,16.014285714285712,38.6,34.62142857142857,25.142857142857142,2,0.14285714285714285,vague-chaleur-juillet-2022,jul22
1071001,CESSY,46.310333,6.080333,507,14,1,20.4,17.47142857142857,36.8,33.214285714285715,25.542857142857144,1,0.07142857142857142,vague-chaleur-juillet-2022,jul22
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,14,1,20.2,14.67857142857143,37.5,32.635714285714286,23.95,1,0.07142857142857142,vague-chaleur-juillet-2022,jul22
1089001,AMBERIEU,45.9765,5.329333,250,14,2,20.6,14.992857142857144,37.1,32.99285714285714,24.3,2,0.14285714285714285,vague-chaleur-juillet-2022,jul22
1143002,DIVONNE ZA,46.3415,6.139667,467,14,0,19.6,13.664285714285716,39.3,35.10714285714286,24.44285714285714,0,0.0,vague-chaleur-juillet-2022,jul22
1200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,14,0,19.5,15.77857142857143,35.5,30.857142857142858,23.342857142857135,0,0.0,vague-chaleur-juillet-2022,jul22
1235001,MARLIEUX,46.0385,5.044333,280,14,0,19.1,15.45,38.1,33.400000000000006,24.628571428571437,0,0.0,vague-chaleur-juillet-2022,jul22
1269001,NANTUA,46.148167,5.607333,483,14,1,20.1,15.378571428571428,36.3,31.95714285714286,23.935714285714283,1,0.07142857142857142,vague-chaleur-juillet-2022,jul22
1367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,14,0,19.8,15.671428571428573,39.1,33.42857142857143,24.707142857142856,0,0.0,vague-chaleur-juillet-2022,jul22
1384003,ST RAMBERT CG01,45.950333,5.461,296,14,0,19.4,15.242857142857144,38.2,33.16428571428571,24.042857142857144,0,0.0,vague-chaleur-juillet-2022,jul22
1414001,SUTRIEU,45.916167,5.624667,878,14,1,20.9,15.885714285714284,35.6,32.24285714285715,23.76428571428572,1,0.07142857142857142,vague-chaleur-juillet-2022,jul22
2037002,AULNOIS-SS-LAON,49.595667,3.610333,78,14,0,18.2,13.914285714285713,39.8,30.07142857142857,22.4,0,0.0,vague-chaleur-juillet-2022,jul22
2058001,BEAURIEUX,49.390333,3.732667,56,14,0,18.3,14.542857142857144,40.3,30.95,22.978571428571428,0,0.0,vague-chaleur-juillet-2022,jul22
2094001,BLESMES,49.009667,3.462667,222,14,0,19.1,15.178571428571429,38.3,28.85,22.28571428571429,0,0.0,vague-chaleur-juillet-2022,jul22
2110002,BRAINE,49.351333,3.527,61,14,0,18.2,14.285714285714285,39.8,30.1,22.514285714285712,0,0.0,vague-chaleur-juillet-2022,jul22
2173002,CHAUNY,49.633833,3.197833,83,14,0,19.0,14.828571428571426,39.0,29.628571428571423,22.52142857142857,0,0.0,vague-chaleur-juillet-2022,jul22
2320001,ST QUENTIN,49.818333,3.206,98,14,0,18.9,14.45,38.7,29.02142857142857,22.00714285714286,0,0.0,vague-chaleur-juillet-2022,jul22
2321002,FONTAINE-LES-VV,49.837333,3.877833,186,14,2,22.4,15.44285714285714,37.4,28.37142857142857,21.914285714285707,2,0.14285714285714285,vague-chaleur-juillet-2022,jul22
2346001,GIZY,49.599833,3.781,75,14,0,17.9,12.357142857142858,39.6,30.021428571428565,21.742857142857144,0,0.0,vague-chaleur-juillet-2022,jul22
2381001,HIRSON,49.922,4.077167,165,14,0,18.0,13.657142857142857,38.1,28.685714285714287,21.321428571428573,0,0.0,vague-chaleur-juillet-2022,jul22
