NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,NTrop_abs,NTrop_taux,episode,episode_label
1014002,ARBENT,46.278167,5.669,534,7,0,15.9,12.985714285714286,37.1,34.357142857142854,24.7,0,0.0,vague-chaleur-juin-2019,jun19
1027003,BALAN_AERO,45.833,5.106667,196,7,2,20.7,18.071428571428573,36.9,34.74285714285715,26.914285714285715,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
1028001,BANEINS,46.122,4.9045,243,7,5,24.0,20.285714285714285,38.0,35.57142857142857,,5,0.7142857142857143,vague-chaleur-juin-2019,jun19
1033002,BELLEGARDE,46.0865,5.814167,350,7,0,17.9,15.94285714285714,36.5,34.32857142857143,25.15714285714285,0,0.0,vague-chaleur-juin-2019,jun19
1034004,BELLEY,45.769333,5.688,330,7,3,22.6,19.642857142857142,36.5,34.542857142857144,27.27142857142857,3,0.42857142857142855,vague-chaleur-juin-2019,jun19
1037001,BENONCES,45.862333,5.484167,944,7,1,20.0,17.0,32.5,30.571428571428573,,1,0.14285714285714285,vague-chaleur-juin-2019,jun19
1064001,VERIZIEU,45.777167,5.487167,281,7,2,22.1,18.285714285714285,36.8,35.25714285714286,26.75714285714286,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
1071001,CESSY,46.310333,6.080333,507,7,0,19.4,17.357142857142858,35.2,32.81428571428571,25.62857142857143,0,0.0,vague-chaleur-juin-2019,jun19
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,7,2,20.9,18.185714285714287,35.4,33.82857142857143,26.557142857142853,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
1089001,AMBERIEU,45.9765,5.329333,250,7,1,22.0,18.300000000000004,35.9,33.98571428571429,26.65714285714285,1,0.14285714285714285,vague-chaleur-juin-2019,jun19
1143002,DIVONNE ZA,46.3415,6.139667,467,7,0,17.0,15.071428571428571,36.5,34.214285714285715,,0,0.0,vague-chaleur-juin-2019,jun19
1174001,GIRON,46.23,5.7725,1015,7,2,22.7,18.27142857142857,34.5,31.800000000000004,24.67142857142857,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
1200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,7,1,21.2,17.57142857142857,34.5,32.642857142857146,25.071428571428577,1,0.14285714285714285,vague-chaleur-juin-2019,jun19
1224002,LOYETTES,45.8065,5.238333,198,7,5,21.5,19.428571428571427,39.0,36.92857142857143,,5,0.7142857142857143,vague-chaleur-juin-2019,jun19
1235001,MARLIEUX,46.0385,5.044333,280,7,3,22.0,19.2,35.8,34.0,26.814285714285717,3,0.42857142857142855,vague-chaleur-juin-2019,jun19
1273001,NEUVILLE,46.083167,5.373833,291,7,2,20.5,17.857142857142858,38.0,35.714285714285715,,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
1350001,SAINT ETIENNE DU BOIS,46.296,5.279667,243,7,3,20.9,18.5,35.6,34.142857142857146,,3,0.42857142857142855,vague-chaleur-juin-2019,jun19
1367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,7,2,20.2,18.071428571428573,37.5,35.628571428571426,,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
1384001,SAINT RAMBERT EN BUGEY,45.931667,5.426667,285,7,1,21.0,17.04285714285714,37.2,35.457142857142856,,1,0.14285714285714285,vague-chaleur-juin-2019,jun19
1384003,ST RAMBERT CG01,45.950333,5.461,296,7,1,21.1,17.428571428571427,36.3,34.91428571428572,25.957142857142856,1,0.14285714285714285,vague-chaleur-juin-2019,jun19
1414001,SUTRIEU,45.916167,5.624667,878,7,3,24.1,18.47142857142857,33.8,31.142857142857142,25.04285714285714,3,0.42857142857142855,vague-chaleur-juin-2019,jun19
1441001,VIEU,46.088833,5.540833,615,7,0,18.7,14.2,36.0,34.17142857142857,,0,0.0,vague-chaleur-juin-2019,jun19
2037002,AULNOIS-SS-LAON,49.595667,3.610333,78,7,0,18.5,16.02857142857143,33.8,30.87142857142857,23.685714285714287,0,0.0,vague-chaleur-juin-2019,jun19
2058001,BEAURIEUX,49.390333,3.732667,56,7,0,19.7,16.7,35.8,33.07142857142857,24.95714285714286,0,0.0,vague-chaleur-juin-2019,jun19
2094001,BLESMES,49.009667,3.462667,222,7,0,19.9,17.114285714285714,32.4,30.32857142857143,23.728571428571428,0,0.0,vague-chaleur-juin-2019,jun19
2110002,BRAINE,49.351333,3.527,61,7,0,19.2,16.24285714285714,34.5,31.685714285714287,24.12857142857143,0,0.0,vague-chaleur-juin-2019,jun19
