NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_glissant_max,TnMoy_glissant_max,window_days,episode
1014002,ARBENT,46.278167,5.669,534,0.0,14.940000000000001,5,vague-chaleur-juillet-2019
1027003,BALAN_AERO,45.833,5.106667,196,0.0,18.7,5,vague-chaleur-juillet-2019
1028001,BANEINS,46.122,4.9045,243,5.0,22.0,5,vague-chaleur-juillet-2019
1033002,BELLEGARDE,46.0865,5.814167,350,0.0,16.6,5,vague-chaleur-juillet-2019
1034004,BELLEY,45.769333,5.688,330,2.0,20.060000000000002,5,vague-chaleur-juillet-2019
1037001,BENONCES,45.862333,5.484167,944,1.0,18.5,5,vague-chaleur-juillet-2019
1064001,VERIZIEU,45.777167,5.487167,281,3.0,19.439999999999998,5,vague-chaleur-juillet-2019
1071001,CESSY,46.310333,6.080333,507,0.0,18.840000000000003,5,vague-chaleur-juillet-2019
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,3.0,20.520000000000003,5,vague-chaleur-juillet-2019
1089001,AMBERIEU,45.9765,5.329333,250,2.0,19.48,5,vague-chaleur-juillet-2019
1143002,DIVONNE ZA,46.3415,6.139667,467,1.0,17.3,5,vague-chaleur-juillet-2019
1174001,GIRON,46.23,5.7725,1015,1.0,19.02,5,vague-chaleur-juillet-2019
1200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,0.0,19.0,5,vague-chaleur-juillet-2019
1224002,LOYETTES,45.8065,5.238333,198,3.0,19.7,5,vague-chaleur-juillet-2019
1235001,MARLIEUX,46.0385,5.044333,280,3.0,20.740000000000002,5,vague-chaleur-juillet-2019
1273001,NEUVILLE,46.083167,5.373833,291,1.0,19.0,5,vague-chaleur-juillet-2019
1350001,SAINT ETIENNE DU BOIS,46.296,5.279667,243,3.0,19.94,5,vague-chaleur-juillet-2019
1367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,2.0,19.3,5,vague-chaleur-juillet-2019
1384001,SAINT RAMBERT EN BUGEY,45.931667,5.426667,285,0.0,18.380000000000003,5,vague-chaleur-juillet-2019
1384003,ST RAMBERT CG01,45.950333,5.461,296,2.0,19.04,5,vague-chaleur-juillet-2019
1414001,SUTRIEU,45.916167,5.624667,878,0.0,17.4,5,vague-chaleur-juillet-2019
1441001,VIEU,46.088833,5.540833,615,0.0,16.06,5,vague-chaleur-juillet-2019
2037002,AULNOIS-SS-LAON,49.595667,3.610333,78,1.0,18.02,5,vague-chaleur-juillet-2019
2058001,BEAURIEUX,49.390333,3.732667,56,2.0,17.759999999999998,5,vague-chaleur-juillet-2019
2094001,BLESMES,49.009667,3.462667,222,2.0,19.06,5,vague-chaleur-juillet-2019
2110002,BRAINE,49.351333,3.527,61,1.0,17.080000000000002,5,vague-chaleur-juillet-2019
2173002,CHAUNY,49.633833,3.197833,83,2.0,18.54,5,vague-chaleur-juillet-2019
2320001,ST QUENTIN,49.818333,3.206,98,2.0,19.060000000000002,5,vague-chaleur-juillet-2019
2321002,FONTAINE-LES-VV,49.837333,3.877833,186,3.0,21.240000000000002,5,vague-chaleur-juillet-2019
2705001,NIZY-LE-COMTE,49.566,4.0365,90,2.0,17.759999999999998,5,vague-chaleur-juillet-2019
3006003,ARFEUILLES,46.163667,3.7355,450,1.0,18.02,5,vague-chaleur-juillet-2019
3036002,BOURBON_SAPC,46.58,3.0495,270,2.0,19.639999999999997,5,vague-chaleur-juillet-2019
3059001,CHAREIL-CINTRAT_SAPC,46.275833,3.225667,286,2.0,18.34,5,vague-chaleur-juillet-2019
3060001,VICHY-CHARMEIL,46.166667,3.398667,249,2.0,19.080000000000002,5,vague-chaleur-juillet-2019
3061001,CHARMES_SAPC,46.0635,3.233667,330,3.0,20.52,5,vague-chaleur-juillet-2019
3083002,CONTIGNY,46.3535,3.292333,305,3.0,20.64,5,vague-chaleur-juillet-2019
3100001,DIOU,46.541667,3.706667,220,3.0,19.1,5,vague-chaleur-juillet-2019
3106002,DURDAT-LAREQUILLE,46.251667,2.695667,500,3.0,19.919999999999998,5,vague-chaleur-juillet-2019
3108001,ECHASSIERES_SAPC,46.191167,2.957667,650,3.0,20.56,5,vague-chaleur-juillet-2019
3114001,FERTE-HAUTERIVE,46.376833,3.331,226,1.0,17.56,5,vague-chaleur-juillet-2019
3130002,ISLE-ET-BARDAIS,46.663333,2.730167,262,3.0,19.9,5,vague-chaleur-juillet-2019
3149002,LOUCHY-MONTFAND,46.303667,3.241833,280,2.0,19.64,5,vague-chaleur-juillet-2019
3155001,LURCY-LEVIS,46.730167,2.935167,206,0.0,17.96,5,vague-chaleur-juillet-2019
3155003,LURCY-LEVIS SA,46.718333,2.947667,225,0.0,17.86,5,vague-chaleur-juillet-2019
3165001,MAYET-DE-MONTAG,46.076833,3.684,542,2.0,19.08,5,vague-chaleur-juillet-2019
3180001,MONTBEUGNY,46.536333,3.423167,275,3.0,20.860000000000003,5,vague-chaleur-juillet-2019
3185007,MONTLUCON,46.355167,2.574667,229,2.0,18.78,5,vague-chaleur-juillet-2019
3186001,MONTMARAULT,46.314833,2.9525,466,2.0,20.06,5,vague-chaleur-juillet-2019
3204001,PARAY-SOUS-BRIAILLES,46.2835,3.337833,250,2.0,17.839999999999996,5,vague-chaleur-juillet-2019
3226001,SAINT DIDIER_SAPC,46.365333,3.850167,293,0.0,17.659999999999997,5,vague-chaleur-juillet-2019
3240001,ST-LEON,46.4025,3.685833,378,4.0,21.86,5,vague-chaleur-juillet-2019
3248001,ST-NICOLAS,46.0515,3.805167,1022,2.0,19.440000000000005,5,vague-chaleur-juillet-2019
3285001,TORTEZAIS_SAPC,46.451333,2.857,256,1.0,18.64,5,vague-chaleur-juillet-2019
3310001,VICHY-VILLE,46.117667,3.439,255,2.0,20.02,5,vague-chaleur-juillet-2019
3321001,YZEURE,46.579167,3.352833,242,3.0,20.48,5,vague-chaleur-juillet-2019
4006005,ALLOS_SAPC,44.2425,6.625333,1400,0.0,12.18,5,vague-chaleur-juillet-2019
4019001,BARCELONNETTE,44.391167,6.670167,1155,0.0,11.72,5,vague-chaleur-juillet-2019
4027002,BEVONS,44.167,5.861833,520,0.0,16.4,5,vague-chaleur-juillet-2019
4039001,CASTELLANE,43.849167,6.508,729,0.0,14.12,5,vague-chaleur-juillet-2019
4045001,CERESTE,43.850667,5.566,350,0.0,16.44,5,vague-chaleur-juillet-2019
4049001,ST AUBAN,44.062167,5.989667,458,1.0,18.9,5,vague-chaleur-juillet-2019
4068001,DAUPHIN,43.909833,5.767167,427,0.0,17.04,5,vague-chaleur-juillet-2019
4070009,DIGNE LES BAINS,44.07,6.186667,554,0.0,18.0,5,vague-chaleur-juillet-2019
4096002,JAUSIERS-ST ANNE,44.413667,6.725167,1240,0.0,14.0,5,vague-chaleur-juillet-2019
4096401,RESTEFOND-NIVOSE,44.34,6.8,2550,0.0,11.180000000000001,5,vague-chaleur-juillet-2019
4115001,MEAILLES_SAPC,44.031167,6.6295,1090,0.0,16.44,5,vague-chaleur-juillet-2019
4126001,MONTCLAR_SAPC,44.391833,6.333333,1197,0.0,14.479999999999999,5,vague-chaleur-juillet-2019
4134002,LA MOTTE DU CAIRE,44.326667,6.0305,665,0.0,14.780000000000001,5,vague-chaleur-juillet-2019
4136001,LA MURE-ARGENS,43.977,6.520167,920,0.0,13.6,5,vague-chaleur-juillet-2019
4158002,QUINSON,43.7075,6.039833,400,0.0,16.6,5,vague-chaleur-juillet-2019
4184001,ST JURS,43.900833,6.2005,867,3.0,19.979999999999997,5,vague-chaleur-juillet-2019
4193400,MALJASSET_NIVO,44.593,6.843333,1908,0.0,9.920000000000002,5,vague-chaleur-juillet-2019
4209005,SISTERON,44.2245,5.916,500,0.0,17.3,5,vague-chaleur-juillet-2019
4217002,THOARD,44.146833,6.138833,732,0.0,14.959999999999999,5,vague-chaleur-juillet-2019
