zone,n_tot,n_UC,NTr_UC,TnX_UC,n_UA,NTr_UA,TnX_UA,n_BS,NTr_BS,TnX_BS,n_NB,NTr_NB,TnX_NB,dNTr_UC,dTnX_UC,dNTr_UA,dTnX_UA
Ile-de-France,45,2,5.0,23.200000000000003,4,1.0,19.85,4,0.0,17.8,35,0.0,16.5,5.0,6.700000000000003,1.0,3.3500000000000014
Hauts-de-France,57,0,,,9,0.0,18.9,1,0.0,19.6,47,0.0,18.1,,,0.0,0.7999999999999972
Ouest atlantique,217,0,,,20,0.5,19.95,53,0.0,19.3,144,0.0,19.3,,,0.5,0.6499999999999986
Aquitaine / Sud-Ouest,70,1,2.0,20.5,7,0.0,18.0,18,0.0,18.2,44,0.0,17.200000000000003,2.0,3.299999999999997,0.0,0.7999999999999972
Provence cotiere,54,1,3.0,21.2,17,0.0,17.9,11,0.0,17.1,25,0.0,18.7,3.0,2.5,0.0,-0.8000000000000007
Languedoc-Roussillon,65,0,,,8,0.0,18.25,16,0.0,18.35,41,0.0,19.4,,,0.0,-1.1499999999999986
Corse,54,0,,,2,1.0,17.55,10,0.0,18.5,42,0.0,17.75,,,1.0,-0.1999999999999993
Rhone-Alpes vallee,105,0,,,16,0.0,16.5,20,0.0,16.65,69,0.0,16.2,,,0.0,0.3000000000000007
Bassin parisien Sud/Centre,127,0,,,10,0.0,15.0,14,0.0,14.149999999999999,103,0.0,15.1,,,0.0,-0.09999999999999964
Grand Est,115,0,,,12,0.0,15.5,10,0.0,13.45,93,0.0,15.5,,,0.0,0.0
