NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,lcz_source,lcz_category,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,ZONE
01014002,ARBENT,46.278167,5.669,534,10,0,10.7,8.49,31.7,29.130000000000003,19.21,demuzere,non_bati,14.0,14,14,
01027003,BALAN_AERO,45.833,5.106667,196,10,0,15.4,11.77,33.7,30.51,22.0,demuzere,non_bati,14.0,14,14,Rhone-Alpes vallee
01034004,BELLEY,45.769333,5.688,330,10,1,20.2,14.91,32.6,29.98,22.92,demuzere,bati_special,12.0,9,9,Rhone-Alpes vallee
01064001,VERIZIEU,45.777167,5.487167,281,10,0,16.3,13.12,33.4,30.81,21.809999999999995,demuzere,bati_special,6.0,6,9,Rhone-Alpes vallee
01071001,CESSY,46.310333,6.080333,507,10,0,16.6,13.41,31.6,28.53,21.53,demuzere,non_bati,14.0,14,14,
01072001,CEYZERIAT_SAPC,46.204333,5.287667,260,10,0,15.9,12.38,32.8,29.71,21.21,demuzere,non_bati,12.0,11,11,Rhone-Alpes vallee
01089001,AMBERIEU,45.9765,5.329333,250,10,0,16.5,13.05,33.4,30.39,22.14,demuzere,non_bati,14.0,14,14,Rhone-Alpes vallee
01143002,DIVONNE ZA,46.3415,6.139667,467,10,0,14.5,10.72,33.0,30.28,20.380000000000003,demuzere,non_bati,6.0,6,12,Rhone-Alpes vallee
01185006,HAUTEVILLE_EDF_RIC-A2-DOUBLON,45.979667,5.598167,805,10,0,12.3,9.63,28.6,26.36,,demuzere,urbain_aere,6.0,6,6,
01200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,10,0,16.3,13.489999999999998,30.0,27.25,20.34,demuzere,non_bati,11.0,11,11,
01235001,MARLIEUX,46.0385,5.044333,280,10,0,15.9,13.21,33.7,29.870000000000005,21.8,demuzere,non_bati,14.0,14,14,Rhone-Alpes vallee
01247003,MIJOUX,46.378833,6.019333,1002,10,0,9.7,6.819999999999999,27.8,25.110000000000003,15.810000000000002,demuzere,non_bati,12.0,12,12,
01269001,NANTUA,46.148167,5.607333,483,10,0,14.5,11.53,31.4,28.630000000000003,20.05,demuzere,non_bati,5.0,6,11,Rhone-Alpes vallee
01367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,10,0,16.3,13.15,33.9,30.99,22.190000000000005,demuzere,bati_special,9.0,9,9,Rhone-Alpes vallee
01384003,ST RAMBERT CG01,45.950333,5.461,296,10,0,15.9,12.38,33.8,30.45,20.89,demuzere,non_bati,6.0,11,11,Rhone-Alpes vallee
